CMDLINE /usr/bin/python main-copy2.py
MEM 128.660156 1543574993.4778
MEM 128.660156 1543574993.5784
MEM 128.660156 1543574993.6789
MEM 128.660156 1543574993.7794
MEM 128.660156 1543574993.8800
MEM 128.660156 1543574993.9805
MEM 128.660156 1543574994.0811
MEM 128.660156 1543574994.1816
MEM 128.660156 1543574994.2822
MEM 128.660156 1543574994.3826
MEM 128.660156 1543574994.4831
MEM 128.660156 1543574994.5837
MEM 128.660156 1543574994.6842
MEM 128.660156 1543574994.7849
MEM 128.660156 1543574994.8853
MEM 128.660156 1543574994.9857
MEM 128.660156 1543574995.0863
MEM 128.660156 1543574995.1868
MEM 128.660156 1543574995.2874
MEM 128.660156 1543574995.3879
MEM 128.660156 1543574995.4884
MEM 128.660156 1543574995.5890
MEM 128.660156 1543574995.6896
MEM 128.660156 1543574995.7901
MEM 128.660156 1543574995.8907
MEM 128.660156 1543574995.9913
MEM 128.660156 1543574996.0918
MEM 128.660156 1543574996.1923
MEM 128.660156 1543574996.2929
MEM 128.660156 1543574996.3934
MEM 128.660156 1543574996.4940
MEM 128.660156 1543574996.5945
MEM 128.660156 1543574996.6951
MEM 128.660156 1543574996.7956
MEM 128.660156 1543574996.8962
MEM 128.660156 1543574996.9967
MEM 128.660156 1543574997.0973
MEM 128.660156 1543574997.1978
MEM 128.660156 1543574997.2984
MEM 128.660156 1543574997.3989
MEM 128.660156 1543574997.4994
MEM 128.660156 1543574997.6000
MEM 128.660156 1543574997.7005
MEM 128.660156 1543574997.8011
MEM 128.660156 1543574997.9016
MEM 128.660156 1543574998.0026
MEM 128.660156 1543574998.1033
MEM 128.660156 1543574998.2038
MEM 128.660156 1543574998.3044
MEM 128.660156 1543574998.4050
MEM 128.660156 1543574998.5056
MEM 128.660156 1543574998.6061
MEM 128.660156 1543574998.7066
MEM 128.660156 1543574998.8071
MEM 128.660156 1543574998.9077
MEM 128.660156 1543574999.0082
MEM 128.660156 1543574999.1087
MEM 128.660156 1543574999.2093
MEM 128.660156 1543574999.3098
